method,seed,sat,rho,rho_over,rho_track,rmse,mae,overshoot_percent,recovery_time,mean_du,max_du,mean_u,changed,bad
PPO,42,0.0,-0.055807491982545795,-0.055807491982545795,0.03557183239242098,0.06678738106913183,0.041135283165956424,3.5592596506898526,8.3,0.07180145570700475,0.7757619023323059,0.2184848545429607,0,0
PPO,43,0.0,-0.03305067673340909,-0.03305067673340909,0.03631362131763202,0.06535750635304706,0.03988678518676207,3.9625262272261352,8.1,0.07633591271650811,0.8556489944458008,0.21726753969987234,0,0
PPO,44,0.0,-0.010209688442084825,-0.010209688442084825,0.03536549625707702,0.06511665276378471,0.03935412604116369,3.379302626086314,8.200000000000001,0.0819057961661549,1.0,0.25442811511456964,0,0
PPO,45,0.0,-0.018236790476086298,-0.018236790476086298,0.03437018701788115,0.06665506937557318,0.0408710690763501,3.49025406948897,8.5,0.08634586244174754,1.0,0.23732114819809794,0,0
PPO,46,0.0,-0.08044810861097586,-0.08044810861097586,0.036147975511033416,0.06822543843502984,0.04268989451112242,3.9902429033859335,8.9,0.06332972757704868,0.8939146175980568,0.21557839710265397,0,0
PPO,47,0.0,-0.04979518677545229,-0.04979518677545229,0.03452608211100862,0.06729213464294374,0.04065519362313648,3.424272013330229,8.5,0.0754464994214214,1.0,0.21897868308549126,0,0
PPO,48,0.0,-0.009870391935421404,-0.009870391935421404,0.037139192867287535,0.06509098939714245,0.04005086952482984,3.9870391935421403,8.200000000000001,0.10601520488576618,1.0,0.24656601007717352,0,0
PPO,49,0.0,-0.004505356611097681,-0.004505356611097681,0.03470503142624826,0.0667651548668918,0.04098843055597956,3.450535661109768,8.5,0.10378944072157194,0.7216112911701202,0.25131833864065506,0,0
PPO,50,0.0,-0.05832798265118981,-0.05832798265118981,0.036569904600698734,0.06797667585690846,0.04067764187422461,2.7176349162697306,8.6,0.06785882484534746,0.6451562643051147,0.22097354501485825,0,0
PPO,51,0.0,-0.08733833721407905,-0.08733833721407905,0.03296308358326485,0.06765969829303452,0.04239138970567576,3.486318399541498,9.1,0.0633360908828514,1.0,0.22127864859377344,0,0
PPO+CONF,42,0.0,-0.055807491982545795,-0.055807491982545795,0.03544948855066594,0.06752250523783529,0.042824109877959364,4.886914611692835,8.3,0.010500218571724996,0.020000000000000018,0.19145382613192002,258,279
PPO+CONF,43,0.0,-0.03305067673340909,-0.03305067673340909,0.032588592060150176,0.06636221380185106,0.04186872131466924,4.689903249784284,8.1,0.01162662057476569,0.020000000000000018,0.1947843482699245,288,245
PPO+CONF,44,0.0,-0.06856465450913084,-0.06856465450913084,0.036386983651120586,0.06351552455749832,0.042496970490861104,5.536373861691857,16.5,0.011053785314544016,0.020000000000000018,0.2505727523773908,283,344
PPO+CONF,45,0.0,-0.021026089802138773,-0.021026089802138773,0.03671537266848001,0.06441117840592683,0.04045304489796477,5.102608980213877,14.5,0.0122408941457785,0.020000000000000018,0.20059770516057807,303,210
PPO+CONF,46,0.0,-0.08044810861097586,-0.08044810861097586,0.03454417446527885,0.07050383875127415,0.046811093312616035,5.510952979007564,16.900000000000002,0.009630277080209505,0.020000000000000018,0.18869211930930613,240,330
PPO+CONF,47,0.0,-0.04979518677545229,-0.04979518677545229,0.03576812258027284,0.06378730169214089,0.04122374993222788,5.387246400414844,15.200000000000001,0.010226137563461848,0.020000000000000018,0.19075241723308958,258,275
PPO+CONF,48,0.0,-0.021516537151180348,-0.021516537151180348,0.03416993343389625,0.06784806053991556,0.04322874688793059,5.151653715118035,15.3,0.013532536482572159,0.020000000000000018,0.22209102985436716,338,184
PPO+CONF,49,0.0,-0.04423031846995991,-0.04423031846995991,0.0361184546012466,0.06993450676327878,0.04559197199427684,5.390780635194441,16.3,0.011420518009113348,0.020000000000000018,0.22686462904488044,286,275
PPO+CONF,50,0.0,-0.05832798265118981,-0.05832798265118981,0.035076266054355945,0.06795463383249696,0.043636863299494795,5.192186667660299,15.4,0.010404550289371374,0.020000000000000018,0.18992421127110717,263,290
PPO+CONF,51,0.0,-0.08733833721407905,-0.08733833721407905,0.034917326995469206,0.06871293821356093,0.04471310659737968,4.783106624356833,9.0,0.009535870047562905,0.020000000000000018,0.18605604332511622,249,326
PPO+GENAI,42,0.0,-0.055807491982545795,-0.055807491982545795,0.029908092374745746,0.058337221138807654,0.03616428887981219,4.918701886622746,6.800000000000001,0.029554895133725393,0.25,0.23664871971371274,168,266
PPO+GENAI,43,0.0,-0.26705053384994015,-0.26705053384994015,-0.2470505338499402,0.20638759553158276,0.1945226181070079,29.705053384994017,40.0,0.0002504173622704508,0.15000000000000002,0.39975,600,600
PPO+GENAI,44,0.0,-0.058718749724541795,-0.058718749724541795,0.03297480373333618,0.06542574997897617,0.04194378907047451,5.066260894539633,15.5,0.030133051931460035,0.25,0.2908511967249215,155,321
PPO+GENAI,45,0.0,-0.018236790476086298,-0.018236790476086298,0.02388548804476159,0.06227988590225583,0.04026631209912594,4.099666258368359,8.5,0.0207838584017475,0.25,0.2567676636626323,183,200
PPO+GENAI,46,0.0,-0.08044810861097586,-0.08044810861097586,0.03176422936511756,0.07077178281475027,0.04587128014278671,5.643924180436197,17.2,0.02443451349792974,0.25,0.2509428023770452,139,334
PPO+GENAI,47,0.0,-0.04979518677545229,-0.04979518677545229,0.031524196379919545,0.052745849194011256,0.03275387580564717,5.1422927235552525,12.9,0.03118750200496492,0.25,0.22771657777453466,175,253
PPO+GENAI,48,0.0,-0.025615290156507816,-0.025615290156507816,0.02669652611581986,0.05712165965243615,0.03808037449765595,5.561529015650782,15.4,0.030154090895875663,0.25,0.25292954122771816,192,222
PPO+GENAI,49,0.0,-0.02238658803005876,-0.02238658803005876,0.027877494220998077,0.05998373213421311,0.03949056919605266,5.238658803005876,15.5,0.03471009898961883,0.25,0.2797923401469986,203,204
PPO+GENAI,50,0.0,-0.05832798265118981,-0.05832798265118981,0.03242100932309541,0.058976073699754834,0.036030297789441265,4.719147575616811,6.9,0.027131123681597792,0.25,0.23251874773204326,164,268
PPO+GENAI,51,0.0,-0.08733833721407905,-0.08733833721407905,0.02963886968524776,0.06855374857985916,0.04420493413796734,5.290703815996892,16.3,0.020138074512374222,0.25,0.24682339692115784,138,335
